P LHS RHS
0.9333 [#] '#'
0.0667 [#] '<unk>'
0.9831 [$] '$'
0.0085 [$] 'US$'
0.0063 [$] 'C$'
0.0021 [$] '<unk>'
0.9818 [''] ''''
0.0165 [''] '''
0.0017 [''] '<unk>'
0.9992 [,] ','
0.0005 [,] 'Wa'
0.0003 [,] '<unk>'
0.8352 [-LRB-] '-LRB-'
0.1538 [-LRB-] '-LCB-'
0.011 [-LRB-] '<unk>'
0.1512 [-NONE-] '*-1'
0.1495 [-NONE-] '0'
0.14 [-NONE-] '*'
0.1136 [-NONE-] '*T*-1'
0.0877 [-NONE-] '*U*'
0.0523 [-NONE-] '*-2'
0.0447 [-NONE-] '*T*-2'
0.0184 [-NONE-] '*-3'
0.0119 [-NONE-] '*T*-3'
0.011 [-NONE-] '*ICH*-1'
0.0083 [-NONE-] '*?*'
0.0058 [-NONE-] '*ICH*-2'
0.0049 [-NONE-] '*RNR*-1'
0.0049 [-NONE-] '*EXP*-1'
0.0042 [-NONE-] '*-4'
0.0031 [-NONE-] '*T*-4'
0.002 [-NONE-] '*ICH*-3'
0.0016 [-NONE-] '*-5'
0.0013 [-NONE-] '*EXP*-2'
0.0011 [-NONE-] '*ICH*-4'
0.0009 [-NONE-] '*-52'
0.0007 [-NONE-] '*-6'
0.0007 [-NONE-] '*-73'
0.0007 [-NONE-] '*T*-5'
0.0007 [-NONE-] '*-80'
0.0007 [-NONE-] '*-7'
0.0007 [-NONE-] '*-64'
0.0007 [-NONE-] '*-25'
0.0007 [-NONE-] '*EXP*-3'
0.0007 [-NONE-] '*RNR*-2'
0.0005 [-NONE-] '*-54'
0.0005 [-NONE-] '*-62'
0.0005 [-NONE-] '*T*-72'
0.0005 [-NONE-] '*T*-19'
0.0005 [-NONE-] '*-68'
0.0005 [-NONE-] '*T*-8'
0.0005 [-NONE-] '*T*-37'
0.0005 [-NONE-] '*-42'
0.0005 [-NONE-] '*T*-40'
0.0005 [-NONE-] '*-128'
0.0005 [-NONE-] '*-32'
0.0005 [-NONE-] '*T*-55'
0.0005 [-NONE-] '*T*-53'
0.0005 [-NONE-] '*-40'
0.0005 [-NONE-] '*T*-64'
0.0005 [-NONE-] '*-74'
0.0005 [-NONE-] '*-23'
0.0005 [-NONE-] '*T*-54'
0.0005 [-NONE-] '*-34'
0.0005 [-NONE-] '*T*-11'
0.0005 [-NONE-] '*-39'
0.0005 [-NONE-] '*-81'
0.0005 [-NONE-] '*T*-43'
0.0005 [-NONE-] '*T*-12'
0.0005 [-NONE-] '*T*-30'
0.0005 [-NONE-] '*T*-80'
0.0005 [-NONE-] '*T*-71'
0.0005 [-NONE-] '*T*-78'
0.0005 [-NONE-] '*-59'
0.0005 [-NONE-] '*T*-42'
0.0005 [-NONE-] '*-14'
0.0005 [-NONE-] '*-51'
0.0005 [-NONE-] '*T*-18'
0.0005 [-NONE-] '*T*-20'
0.0005 [-NONE-] '*T*-58'
0.0005 [-NONE-] '*-63'
0.0005 [-NONE-] '*T*-52'
0.0005 [-NONE-] '*T*-70'
0.0005 [-NONE-] '*-98'
0.0005 [-NONE-] '*-29'
0.0005 [-NONE-] '*-31'
0.0005 [-NONE-] '*T*-28'
0.0005 [-NONE-] '*-13'
0.0005 [-NONE-] '*T*-29'
0.0005 [-NONE-] '*-69'
0.0005 [-NONE-] '*-9'
0.0005 [-NONE-] '*-56'
0.0005 [-NONE-] '*T*-74'
0.0005 [-NONE-] '*T*-32'
0.0005 [-NONE-] '*-18'
0.0005 [-NONE-] '*-10'
0.0005 [-NONE-] '*T*-41'
0.0005 [-NONE-] '*T*-61'
0.0005 [-NONE-] '*T*-45'
0.0005 [-NONE-] '*-37'
0.0005 [-NONE-] '*T*-48'
0.0005 [-NONE-] '*-61'
0.0005 [-NONE-] '*-45'
0.0005 [-NONE-] '*T*-65'
0.0005 [-NONE-] '*T*-51'
0.0005 [-NONE-] '*-83'
0.0005 [-NONE-] '*T*-76'
0.0005 [-NONE-] '*-22'
0.0005 [-NONE-] '*-48'
0.0005 [-NONE-] '*-36'
0.0005 [-NONE-] '*T*-68'
0.0005 [-NONE-] '*-79'
0.0005 [-NONE-] '*T*-57'
0.0005 [-NONE-] '*RNR*-4'
0.0005 [-NONE-] '*T*-35'
0.0005 [-NONE-] '*-43'
0.0005 [-NONE-] '*T*-15'
0.0005 [-NONE-] '*T*-38'
0.0005 [-NONE-] '*T*-6'
0.0005 [-NONE-] '*-27'
0.0005 [-NONE-] '*T*-10'
0.0005 [-NONE-] '*-33'
